"","X","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes","uniID","abun","H","Simpson","Species","Even"
"CaSlJulyopen12","CaSlJulyopen12","CaSl","July","pitfall","open",24,"open12",NA,NA,NA,50,0,0,0,50,100,5,"Grass",TRUE,"","CaSlJulyopen12",4,1.03972077083992,0.625,3,0.946394630357186
"CaSlJulyopen2","CaSlJulyopen2","CaSl","July","pitfall","open",14,"open2",NA,NA,NA,5,0,0,1,94,100,8,"grass",TRUE,"","CaSlJulyopen2",66,0.576382066624893,0.309917355371901,3,0.524645566566221
"CaSlJulyopen3","CaSlJulyopen3","CaSl","July","pitfall","open",15,"open3",NA,NA,NA,95,0,0,0,5,100,8,"grass",TRUE,"","CaSlJulyopen3",17,0.649248354870898,0.456747404844291,2,0.936667381877562
"CaSlJulyopen4","CaSlJulyopen4","CaSl","July","pitfall","open",16,"open4",NA,NA,NA,25,0,0,0,75,100,12,"grass",TRUE,"","CaSlJulyopen4",13,1.2852930241201,0.710059171597633,4,0.927142935993623
"CaSlJulyopen6","CaSlJulyopen6","CaSl","July","pitfall","open",18,"open6",NA,NA,NA,100,0,0,0,0,100,7,"grass",TRUE,"","CaSlJulyopen6",42,0.848367511103301,0.515873015873016,3,0.772217387202003
"CaSlJulyopen7","CaSlJulyopen7","CaSl","July","pitfall","open",19,"open7",NA,NA,NA,30,2,0,1,67,100,4,"grass",TRUE,"","CaSlJulyopen7",35,0.867797700679268,0.455510204081633,4,0.625983719632413
"CaSlJulyopen8","CaSlJulyopen8","CaSl","July","pitfall","open",20,"open8",NA,NA,NA,10,1,0,0,89,100,3,"grass",TRUE,"","CaSlJulyopen8",13,0.540204142388861,0.355029585798816,2,0.779349837292085
"CaSlJulyopen9","CaSlJulyopen9","CaSl","July","pitfall","open",21,"open9",NA,NA,NA,70,0,0,0,30,100,2,"grass",TRUE,"","CaSlJulyopen9",26,1.02316891603073,0.582840236686391,4,0.738060360574637
"CaSlJulyshrub1","CaSlJulyshrub1","CaSl","July","pitfall","open",1,"shrub1",NA,NA,NA,30,0,0,1,69,100,9,"grass",TRUE,"","CaSlJulyshrub1",25,0.882563295379834,0.5184,3,0.803343731435773
"CaSlJulyshrub10","CaSlJulyshrub10","CaSl","July","pitfall","open",10,"shrub10",NA,NA,NA,89,0,0,1,10,100,6,"grass",TRUE,"","CaSlJulyshrub10",10,0.89794572485678,0.54,3,0.81734542214651
"CaSlJulyshrub11","CaSlJulyshrub11","CaSl","July","pitfall","open",11,"shrub11",NA,NA,NA,72,3,0,0,25,100,9,"grass",TRUE,"","CaSlJulyshrub11",95,0.198255292031723,0.0813296398891967,3,0.180459743693633
"CaSlJulyshrub12","CaSlJulyshrub12","CaSl","July","pitfall","open",12,"shrub12",NA,NA,NA,0,6,0,1,93,100,7,"grass",TRUE,"","CaSlJulyshrub12",367,0.0834667533037846,0.0321629828716525,2,0.120417071070473
"CaSlJulyshrub2","CaSlJulyshrub2","CaSl","July","pitfall","open",2,"shrub2",NA,NA,NA,10,0,0,0,90,100,7,"grass",TRUE,"","CaSlJulyshrub2",33,1.14460146420224,0.598714416896235,5,0.711180875856932
"CaSlJulyshrub3","CaSlJulyshrub3","CaSl","July","pitfall","open",3,"shrub3",NA,NA,NA,10,0,0,1,89,100,7,"grass",TRUE,"","CaSlJulyshrub3",15,1.28687263039802,0.648888888888889,5,0.799578921594907
"CaSlJulyshrub4","CaSlJulyshrub4","CaSl","July","pitfall","open",4,"shrub4",NA,NA,NA,6,0,0,5,89,100,4,"grass",TRUE,"","CaSlJulyshrub4",8,1.08219553003877,0.65625,3,0.985056822321508
"CaSlJulyshrub5","CaSlJulyshrub5","CaSl","July","pitfall","open",5,"shrub5",NA,NA,NA,60,0,0,0,40,100,5,"grass",TRUE,"","CaSlJulyshrub5",24,0.709713102424333,0.354166666666667,4,0.511949786660753
"CaSlJulyshrub6","CaSlJulyshrub6","CaSl","July","pitfall","open",6,"shrub6",NA,NA,NA,25,0,0,1,74,100,7,"grass",TRUE,"","CaSlJulyshrub6",37,0.782681352831237,0.401753104455807,4,0.564585253162945
"CaSlJulyshrub7","CaSlJulyshrub7","CaSl","July","pitfall","open",7,"shrub7",NA,NA,NA,25,0,0,1,74,100,10,"grass",TRUE,"","CaSlJulyshrub7",18,1.4546247143256,0.691358024691358,6,0.811841510709192
"CaSlJulyshrub8","CaSlJulyshrub8","CaSl","July","pitfall","open",8,"shrub8",NA,NA,NA,5,0,0,1,94,100,9,"grass",TRUE,"","CaSlJulyshrub8",14,0.410116318288409,0.244897959183674,2,0.591672778582327
"CaSlJulyshrub9","CaSlJulyshrub9","CaSl","July","pitfall","open",9,"shrub9",NA,NA,NA,96,0,3,1,0,100,13,"grass",TRUE,"","CaSlJulyshrub9",8,1.08219553003877,0.65625,3,0.985056822321508
"CaSlSeptopen1","CaSlSeptopen1","CaSl","Sept","pitfall","open",13,"open1",NA,NA,NA,2,0,1,20,77,100,3,"grass",TRUE,"","CaSlSeptopen1",4,0,0,1,NA
"CaSlSeptopen10","CaSlSeptopen10","CaSl","Sept","pitfall","open",22,"open10",NA,NA,NA,30,0,15,2,53,100,27,"grass",TRUE,"","CaSlSeptopen10",9,0,0,1,NA
"CaSlSeptopen12","CaSlSeptopen12","CaSl","Sept","pitfall","open",24,"open12",NA,NA,NA,20,0,35,1,44,100,11,"grass",TRUE,"","CaSlSeptopen12",14,0,0,1,NA
"CaSlSeptopen5","CaSlSeptopen5","CaSl","Sept","pitfall","open",17,"open5",NA,NA,NA,37,0,10,8,45,100,28,"grass",TRUE,"","CaSlSeptopen5",2,0,0,1,NA
"CaSlSeptopen6","CaSlSeptopen6","CaSl","Sept","pitfall","open",18,"open6",NA,NA,NA,60,0,5,2,33,100,32,"grass",TRUE,"","CaSlSeptopen6",42,0,0,1,NA
"CaSlSeptopen8","CaSlSeptopen8","CaSl","Sept","pitfall","open",20,"open8",NA,NA,NA,20,0,52,5,23,100,20,"grass",TRUE,"","CaSlSeptopen8",1,0,0,1,NA
"CaSlSeptopen9","CaSlSeptopen9","CaSl","Sept","pitfall","open",21,"open9",NA,NA,NA,48,0,15,4,33,100,10,"grass",TRUE,"","CaSlSeptopen9",6,0,0,1,NA
"CaSlSeptshrub1","CaSlSeptshrub1","CaSl","Sept","pitfall","open",1,"shrub1",NA,NA,NA,63,0,7,5,25,100,19,"grass",TRUE,"","CaSlSeptshrub1",2,0,0,1,NA
"CaSlSeptshrub10","CaSlSeptshrub10","CaSl","Sept","pitfall","open",10,"shrub10",NA,NA,NA,70,0,25,0,5,100,21,"grass",TRUE,"","CaSlSeptshrub10",138,0,0,1,NA
"CaSlSeptshrub11","CaSlSeptshrub11","CaSl","Sept","pitfall","open",11,"shrub11",NA,NA,NA,49,0,10,1,40,100,18,"herb",TRUE,"","CaSlSeptshrub11",2,0.693147180559945,0.5,2,1
"CaSlSeptshrub3","CaSlSeptshrub3","CaSl","Sept","pitfall","open",3,"shrub3",NA,NA,NA,15,0,30,20,35,100,3,"grass",TRUE,"","CaSlSeptshrub3",3,0,0,1,NA
"CaSlSeptshrub4","CaSlSeptshrub4","CaSl","Sept","pitfall","open",4,"shrub4",NA,NA,NA,2,0,35,35,28,100,5,"grass",TRUE,"","CaSlSeptshrub4",12,0,0,1,NA
"CaSlSeptshrub6","CaSlSeptshrub6","CaSl","Sept","pitfall","open",6,"shrub6",NA,NA,NA,45,0,20,15,20,100,27,"herb",TRUE,"","CaSlSeptshrub6",26,0.163023629494366,0.0739644970414202,2,0.235193381819241
"CaSlSeptshrub7","CaSlSeptshrub7","CaSl","Sept","pitfall","open",7,"shrub7",NA,NA,NA,40,0,4,6,50,100,16,"grass",TRUE,"","CaSlSeptshrub7",2,0,0,1,NA
"CaSlSeptshrub9","CaSlSeptshrub9","CaSl","Sept","pitfall","open",9,"shrub9",NA,NA,NA,0,0,25,10,65,100,NA,NA,NA,"","CaSlSeptshrub9",2,0,0,1,NA
"CaSSeptopen1","CaSSeptopen1","CaS","Sept","pitfall","open",1,"open1",NA,NA,NA,20,0,2,20,58,100,8,"herb",TRUE,"","CaSSeptopen1",6,0.867563228481461,0.5,3,0.789690082142847
"CaSSeptopen10","CaSSeptopen10","CaS","Sept","pitfall","open",10,"open10",NA,NA,NA,10,0,32,29,29,100,6,"grass",TRUE,"","CaSSeptopen10",2,0.693147180559945,0.5,2,1
"CaSSeptopen11","CaSSeptopen11","CaS","Sept","pitfall","open",11,"open11",NA,NA,NA,35,0,4,45,16,100,14,"grass",TRUE,"","CaSSeptopen11",82,0.356448662624061,0.178167757287329,3,0.324453554999096
"CaSSeptopen12","CaSSeptopen12","CaS","Sept","pitfall","open",12,"open12",NA,NA,NA,47,0,7,6,40,100,14,"herb",TRUE,"","CaSSeptopen12",95,0.0584062649333791,0.020831024930748,2,0.084262428776233
"CaSSeptopen2","CaSSeptopen2","CaS","Sept","pitfall","open",2,"open2",NA,NA,NA,10,0,3,7,80,100,11,"grass",TRUE,"","CaSSeptopen2",19,0.336495757583516,0.188365650969529,2,0.485460760745913
"CaSSeptopen3","CaSSeptopen3","CaS","Sept","pitfall","open",3,"open3",NA,NA,NA,50,0,10,9,31,100,12,"grass",TRUE,"","CaSSeptopen3",48,0.433129305890651,0.192708333333333,4,0.312436750836061
"CaSSeptopen4","CaSSeptopen4","CaS","Sept","pitfall","open",4,"open4",NA,NA,NA,20,0,3,17,60,100,9,"herb",TRUE,"","CaSSeptopen4",38,0.704180755169674,0.35595567867036,4,0.507959041686367
"CaSSeptopen5","CaSSeptopen5","CaS","Sept","pitfall","open",5,"open5",NA,NA,NA,18,0,4,13,65,100,17,"herb",TRUE,"","CaSSeptopen5",17,0.443757284260148,0.214532871972318,3,0.403925287234983
"CaSSeptopen6","CaSSeptopen6","CaS","Sept","pitfall","open",6,"open6",NA,NA,NA,24,0,6,55,15,100,5,"herb",TRUE,"","CaSSeptopen6",11,0.304636097349238,0.165289256198347,2,0.439496986921513
"CaSSeptopen7","CaSSeptopen7","CaS","Sept","pitfall","open",7,"open7",NA,NA,NA,22,0,0,25,53,100,7,"grass",TRUE,"","CaSSeptopen7",11,0.689009238476659,0.495867768595041,2,0.994030211476957
"CaSSeptopen8","CaSSeptopen8","CaS","Sept","pitfall","open",8,"open8",NA,NA,NA,27,0,2,10,61,100,6,"herb",TRUE,"","CaSSeptopen8",4,0.562335144618808,0.375,2,0.811278124459133
"CaSSeptopen9","CaSSeptopen9","CaS","Sept","pitfall","open",9,"open9",NA,NA,NA,23,0,1,32,44,100,9,"grass",TRUE,"","CaSSeptopen9",28,0,0,1,NA
"CaSSeptshrub1","CaSSeptshrub1","CaS","Sept","pitfall","shrub",1,"shrub1",280,200,110,50,0,6,2,42,100,22,"grass",TRUE,"","CaSSeptshrub1",4,0.562335144618808,0.375,2,0.811278124459133
"CaSSeptshrub10","CaSSeptshrub10","CaS","Sept","pitfall","shrub",10,"shrub10",300,290,110,22,0,4,12,62,100,12,"grass",TRUE,"","CaSSeptshrub10",9,0.348832095843032,0.197530864197531,2,0.503258334775646
"CaSSeptshrub11","CaSSeptshrub11","CaS","Sept","pitfall","shrub",11,"shrub11",440,400,180,42,0,3,12,43,100,9,"grass",TRUE,"","CaSSeptshrub11",47,0.619921195832341,0.327750113173382,3,0.564276589864014
"CaSSeptshrub12","CaSSeptshrub12","CaS","Sept","pitfall","shrub",12,"shrub12",360,340,90,65,0,25,4,6,100,21,"grass",TRUE,"","CaSSeptshrub12",20,0,0,1,NA
"CaSSeptshrub2","CaSSeptshrub2","CaS","Sept","pitfall","shrub",2,"shrub2",490,370,160,94,0,5,1,0,100,19,"grass",TRUE,"3 shrub cluster","CaSSeptshrub2",45,0.10656595882802,0.0434567901234568,2,0.153742180328762
"CaSSeptshrub3","CaSSeptshrub3","CaS","Sept","pitfall","shrub",3,"shrub3",260,190,100,46,0,3,5,46,100,15,"grass",TRUE,"","CaSSeptshrub3",155,0,0,1,NA
"CaSSeptshrub4","CaSSeptshrub4","CaS","Sept","pitfall","shrub",4,"shrub4",380,240,150,78,0,15,2,5,100,10,"grass",TRUE,"","CaSSeptshrub4",62,0.602216095311234,0.305411030176899,4,0.434407087124516
"CaSSeptshrub5","CaSSeptshrub5","CaS","Sept","pitfall","shrub",5,"shrub5",160,130,120,35,0,15,35,15,100,12,"grass",TRUE,"","CaSSeptshrub5",179,0.0690701484912144,0.0221591086420524,3,0.0628703585456438
"CaSSeptshrub6","CaSSeptshrub6","CaS","Sept","pitfall","shrub",6,"shrub6",380,330,150,40,0,45,15,0,100,28,"grass",TRUE,"","CaSSeptshrub6",25,0.36692499127271,0.2112,2,0.529360865287364
"CaSSeptshrub7","CaSSeptshrub7","CaS","Sept","pitfall","shrub",7,"shrub7",500,160,100,90,0,5,5,0,100,20,"grass",TRUE,"3 shrub cluster","CaSSeptshrub7",9,0.348832095843032,0.197530864197531,2,0.503258334775646
"CaSSeptshrub8","CaSSeptshrub8","CaS","Sept","pitfall","shrub",8,"shrub8",280,230,180,77,0,10,3,10,100,24,"grass",TRUE,"","CaSSeptshrub8",20,0.688138813713588,0.495,2,0.992774453987808
"CoalAugopen1","CoalAugopen1","Coal","Aug","pitfall","open",13,"open1",NA,NA,NA,88,8,2,0,2,100,20,"grass",TRUE,"","CoalAugopen1",8,0,0,1,NA
"CoalAugopen10","CoalAugopen10","Coal","Aug","pitfall","open",22,"open10",NA,NA,NA,3,0,0,15,82,100,2,"herb",TRUE,"","CoalAugopen10",8,0.900256051268537,0.53125,3,0.819448371872804
"CoalAugopen11","CoalAugopen11","Coal","Aug","pitfall","open",23,"open11",NA,NA,NA,72,2,1,1,24,100,12,"herb",TRUE,"","CoalAugopen11",40,0.676379528603631,0.37125,3,0.615667179022394
"CoalAugopen12","CoalAugopen12","Coal","Aug","pitfall","open",24,"open12",NA,NA,NA,86,0,0,1,13,100,7,"herb",TRUE,"","CoalAugopen12",30,0.146144746008564,0.0644444444444445,2,0.210842300318532
"CoalAugopen2","CoalAugopen2","Coal","Aug","pitfall","open",14,"open2",NA,NA,NA,97,1,0,0,2,100,20,"grass",TRUE,"","CoalAugopen2",3,0,0,1,NA
"CoalAugopen3","CoalAugopen3","Coal","Aug","pitfall","open",15,"open3",NA,NA,NA,99,0,1,0,0,100,13,"grass",TRUE,"","CoalAugopen3",2,0.693147180559945,0.5,2,1
"CoalAugopen4","CoalAugopen4","Coal","Aug","pitfall","open",16,"open4",NA,NA,NA,0,0,0,1,99,100,NA,NA,NA,"","CoalAugopen4",2,0.693147180559945,0.5,2,1
"CoalAugopen5","CoalAugopen5","Coal","Aug","pitfall","open",17,"open5",NA,NA,NA,97,2,0,0,1,100,6,"grass",TRUE,"","CoalAugopen5",22,1.09657543425772,0.665289256198347,3,0.998145975216737
"CoalAugopen6","CoalAugopen6","Coal","Aug","pitfall","open",18,"open6",NA,NA,NA,94,6,0,0,0,100,32,"grass",TRUE,"","CoalAugopen6",2,0,0,1,NA
"CoalAugopen7","CoalAugopen7","Coal","Aug","pitfall","open",19,"open7",NA,NA,NA,99,1,0,0,0,100,17,"herb",TRUE,"","CoalAugopen7",1,0,0,1,NA
"CoalAugopen8","CoalAugopen8","Coal","Aug","pitfall","open",20,"open8",NA,NA,NA,96,0,0,0,4,100,20,"grass",TRUE,"","CoalAugopen8",4,0.562335144618808,0.375,2,0.811278124459133
"CoalAugopen9","CoalAugopen9","Coal","Aug","pitfall","open",21,"open9",NA,NA,NA,76,3,10,1,10,100,13,"grass",TRUE,"","CoalAugopen9",7,0.598269588585257,0.408163265306122,2,0.863120568566631
"CoalAugshrub1","CoalAugshrub1","Coal","Aug","pitfall","open",1,"shrub1",NA,NA,NA,100,0,0,0,0,100,14,"grass",TRUE,"","CoalAugshrub1",7,0,0,1,NA
"CoalAugshrub11","CoalAugshrub11","Coal","Aug","pitfall","open",11,"shrub11",NA,NA,NA,79,0,0,1,20,100,12,"grass",TRUE,"","CoalAugshrub11",123,0.502736035102831,0.296516623702822,3,0.457610059789444
"CoalAugshrub12","CoalAugshrub12","Coal","Aug","pitfall","open",12,"shrub12",NA,NA,NA,54,5,1,0,40,100,13,"grass",TRUE,"","CoalAugshrub12",8,0.661563238157982,0.46875,2,0.954434002924965
"CoalAugshrub3","CoalAugshrub3","Coal","Aug","pitfall","open",3,"shrub3",NA,NA,NA,100,0,0,0,0,100,21,"grass",TRUE,"","CoalAugshrub3",5,0.500402423538188,0.32,2,0.721928094887362
"CoalAugshrub4","CoalAugshrub4","Coal","Aug","pitfall","open",4,"shrub4",NA,NA,NA,0,0,1,3,96,100,NA,NA,NA,"","CoalAugshrub4",1,0,0,1,NA
"CoalAugshrub5","CoalAugshrub5","Coal","Aug","pitfall","open",5,"shrub5",NA,NA,NA,10,9,1,0,80,100,34,"grass",TRUE,"","CoalAugshrub5",8,0.562335144618808,0.375,2,0.811278124459133
"CoalAugshrub6","CoalAugshrub6","Coal","Aug","pitfall","open",6,"shrub6",NA,NA,NA,67,2,1,0,30,100,16,"grass",TRUE,"","CoalAugshrub6",1,0,0,1,NA
"CoalAugshrub7","CoalAugshrub7","Coal","Aug","pitfall","open",7,"shrub7",NA,NA,NA,98,2,0,0,0,100,15,"grass",TRUE,"","CoalAugshrub7",1,0,0,1,NA
"CoalAugshrub8","CoalAugshrub8","Coal","Aug","pitfall","open",8,"shrub8",NA,NA,NA,91,9,0,0,0,100,16,"grass",TRUE,"","CoalAugshrub8",6,0,0,1,NA
"CoalAugshrub9","CoalAugshrub9","Coal","Aug","pitfall","open",9,"shrub9",NA,NA,NA,99,0,1,0,0,100,24,"grass",TRUE,"","CoalAugshrub9",1,0,0,1,NA
"CoalJulyopen1","CoalJulyopen1","Coal","July","pitfall","open",13,"open1",NA,NA,NA,90,10,0,0,0,100,13,"grass",TRUE,"","CoalJulyopen1",9,0,0,1,NA
"CoalJulyopen10","CoalJulyopen10","Coal","July","pitfall","open",22,"open10",NA,NA,NA,99,1,0,0,0,100,5,"grass",TRUE,"","CoalJulyopen10",12,0.450561208866305,0.277777777777778,2,0.650022421648354
"CoalJulyopen11","CoalJulyopen11","Coal","July","pitfall","open",23,"open11",NA,NA,NA,100,0,0,0,0,100,12,"grass",TRUE,"","CoalJulyopen11",4,1.03972077083992,0.625,3,0.946394630357186
"CoalJulyopen12","CoalJulyopen12","Coal","July","pitfall","open",24,"open12",NA,NA,NA,91,8,0,0,1,100,9,"grass",TRUE,"","CoalJulyopen12",2,0,0,1,NA
"CoalJulyopen3","CoalJulyopen3","Coal","July","pitfall","open",15,"open3",NA,NA,NA,98,2,0,0,0,100,5,"grass",TRUE,"","CoalJulyopen3",1,0,0,1,NA
"CoalJulyopen4","CoalJulyopen4","Coal","July","pitfall","open",16,"open4",NA,NA,NA,5,5,0,0,90,100,10,"herb",TRUE,"","CoalJulyopen4",18,0.900908873225472,0.537037037037037,3,0.820042596026009
"CoalJulyopen5","CoalJulyopen5","Coal","July","pitfall","open",17,"open5",NA,NA,NA,85,15,0,0,0,100,12,"grass",TRUE,"","CoalJulyopen5",18,0.529706199057654,0.345679012345679,2,0.76420450650862
"CoalJulyopen6","CoalJulyopen6","Coal","July","pitfall","open",18,"open6",NA,NA,NA,90,10,0,0,0,100,15,"grass",TRUE,"","CoalJulyopen6",33,0.369333121645653,0.213039485766759,2,0.532835063034223
"CoalJulyopen7","CoalJulyopen7","Coal","July","pitfall","open",19,"open7",NA,NA,NA,97,1,1,0,1,100,22,"grass",TRUE,"","CoalJulyopen7",31,0.142505867392738,0.0624349635796044,2,0.205592508185083
"CoalJulyopen8","CoalJulyopen8","Coal","July","pitfall","open",20,"open8",NA,NA,NA,98,2,0,0,0,100,8,"grass",TRUE,"","CoalJulyopen8",22,0,0,1,NA
"CoalJulyopen9","CoalJulyopen9","Coal","July","pitfall","open",21,"open9",NA,NA,NA,98,1,0,0,1,100,14,"grass",TRUE,"","CoalJulyopen9",4,0,0,1,NA
"CoalJulyshrub1","CoalJulyshrub1","Coal","July","pitfall","open",1,"shrub1",NA,NA,NA,98,2,0,0,0,100,14,"grass",TRUE,"","CoalJulyshrub1",50,0,0,1,NA
"CoalJulyshrub10","CoalJulyshrub10","Coal","July","pitfall","open",10,"shrub10",NA,NA,NA,3,2,1,0,94,100,5,"grass",TRUE,"","CoalJulyshrub10",113,0.177569164860868,0.0689169081368941,3,0.16163041929573
"CoalJulyshrub11","CoalJulyshrub11","Coal","July","pitfall","open",11,"shrub11",NA,NA,NA,49,2,0,0,49,100,10,"grass",TRUE,"","CoalJulyshrub11",31,0.379534925581095,0.1789802289282,3,0.34546757713881
"CoalJulyshrub12","CoalJulyshrub12","Coal","July","pitfall","open",12,"shrub12",NA,NA,NA,96,1,0,0,3,100,14,"grass",TRUE,"","CoalJulyshrub12",1,0,0,1,NA
"CoalJulyshrub2","CoalJulyshrub2","Coal","July","pitfall","open",2,"shrub2",NA,NA,NA,100,0,0,0,0,100,26,"grass",TRUE,"","CoalJulyshrub2",2,0,0,1,NA
"CoalJulyshrub4","CoalJulyshrub4","Coal","July","pitfall","open",4,"shrub4",NA,NA,NA,5,1,0,1,93,100,11,"grass",TRUE,"","CoalJulyshrub4",2,0,0,1,NA
"CoalJulyshrub5","CoalJulyshrub5","Coal","July","pitfall","open",5,"shrub5",NA,NA,NA,97,3,0,0,0,100,27,"grass",TRUE,"","CoalJulyshrub5",1,0,0,1,NA
"CoalJulyshrub6","CoalJulyshrub6","Coal","July","pitfall","open",6,"shrub6",NA,NA,NA,67,1,1,1,30,100,17,"herb",TRUE,"","CoalJulyshrub6",2,0.693147180559945,0.5,2,1
"CoalJulyshrub7","CoalJulyshrub7","Coal","July","pitfall","open",7,"shrub7",NA,NA,NA,94,2,1,0,3,100,27,"grass",TRUE,"","CoalJulyshrub7",21,0.191444081957717,0.090702947845805,2,0.276195427647939
"CoalJulyshrub8","CoalJulyshrub8","Coal","July","pitfall","open",8,"shrub8",NA,NA,NA,8,3,0,1,88,100,5,"grass",TRUE,"","CoalJulyshrub8",29,0.149994923610415,0.0665873959571937,2,0.216396932451265
"CoalSeptopen1","CoalSeptopen1","Coal","Sept","pitfall","open",13,"open1",NA,NA,NA,90,0,0,0,10,100,21,"grass",TRUE,"","CoalSeptopen1",2,0,0,1,NA
"CoalSeptopen10","CoalSeptopen10","Coal","Sept","pitfall","open",22,"open10",NA,NA,NA,80,10,0,5,5,100,12,"grass",TRUE,"","CoalSeptopen10",3,0.636514168294813,0.444444444444444,2,0.918295834054489
"CoalSeptopen12","CoalSeptopen12","Coal","Sept","pitfall","open",24,"open12",NA,NA,NA,70,15,0,0,15,100,17,"grass",TRUE,"","CoalSeptopen12",4,1.03972077083992,0.625,3,0.946394630357186
"CoalSeptopen2","CoalSeptopen2","Coal","Sept","pitfall","open",14,"open2",NA,NA,NA,96,2,2,0,0,100,12,"grass",TRUE,"","CoalSeptopen2",3,0.636514168294813,0.444444444444444,2,0.918295834054489
"CoalSeptopen3","CoalSeptopen3","Coal","Sept","pitfall","open",15,"open3",NA,NA,NA,97,0,1,0,2,100,8,"grass",TRUE,"","CoalSeptopen3",5,0,0,1,NA
"CoalSeptopen4","CoalSeptopen4","Coal","Sept","pitfall","open",16,"open4",NA,NA,NA,100,0,0,0,0,100,15,"grass",TRUE,"","CoalSeptopen4",1,0,0,1,NA
"CoalSeptopen5","CoalSeptopen5","Coal","Sept","pitfall","open",17,"open5",NA,NA,NA,98,0,0,0,2,100,17,"grass",TRUE,"cow dung","CoalSeptopen5",1,0,0,1,NA
"CoalSeptopen7","CoalSeptopen7","Coal","Sept","pitfall","open",19,"open7",NA,NA,NA,93,2,0,0,5,100,15,"grass",TRUE,"cow dung","CoalSeptopen7",4,0,0,1,NA
"CoalSeptopen8","CoalSeptopen8","Coal","Sept","pitfall","open",20,"open8",NA,NA,NA,99,1,0,0,0,100,24,"grass",TRUE,"","CoalSeptopen8",12,0.286835983056161,0.152777777777778,2,0.413816850303634
"CoalSeptshrub1","CoalSeptshrub1","Coal","Sept","pitfall","open",1,"shrub1",NA,NA,NA,96,2,0,2,0,100,8,"grass",TRUE,"","CoalSeptshrub1",3,0,0,1,NA
"CoalSeptshrub10","CoalSeptshrub10","Coal","Sept","pitfall","open",10,"shrub10",NA,NA,NA,70,5,0,10,15,100,9,"grass",TRUE,"","CoalSeptshrub10",1,0,0,1,NA
"CoalSeptshrub11","CoalSeptshrub11","Coal","Sept","pitfall","open",11,"shrub11",NA,NA,NA,80,10,0,5,5,100,11,"grass",TRUE,"","CoalSeptshrub11",6,0.636514168294813,0.444444444444444,2,0.918295834054489
"CoalSeptshrub12","CoalSeptshrub12","Coal","Sept","pitfall","open",12,"shrub12",NA,NA,NA,96,0,0,2,2,100,8,"grass",TRUE,"","CoalSeptshrub12",16,0.830523691482846,0.5078125,3,0.755975242630612
"CoalSeptshrub2","CoalSeptshrub2","Coal","Sept","pitfall","open",2,"shrub2",NA,NA,NA,94,1,0,0,5,100,9,"grass",TRUE,"","CoalSeptshrub2",5,0,0,1,NA
"CoalSeptshrub3","CoalSeptshrub3","Coal","Sept","pitfall","open",3,"shrub3",NA,NA,NA,99,0,1,0,0,100,13,"grass",TRUE,"","CoalSeptshrub3",1,0,0,1,NA
"CoalSeptshrub8","CoalSeptshrub8","Coal","Sept","pitfall","open",8,"shrub8",NA,NA,NA,85,5,0,0,10,100,18,"grass",TRUE,"","CoalSeptshrub8",5,0,0,1,NA
"CoalSeptshrub9","CoalSeptshrub9","Coal","Sept","pitfall","open",9,"shrub9",NA,NA,NA,70,5,0,10,15,100,5,"grass",TRUE,"cow dung","CoalSeptshrub9",4,0,0,1,NA
"LokAugopen1","LokAugopen1","Lok","Aug","pitfall","open",1,"open1",NA,NA,NA,85,0,0,3,12,100,18,"herb",TRUE,"","LokAugopen1",45,0,0,1,NA
"LokAugopen2","LokAugopen2","Lok","Aug","pitfall","open",2,"open2",NA,NA,NA,12,0,0,30,58,100,26,"herb",TRUE,"","LokAugopen2",1,0,0,1,NA
"LokAugopen3","LokAugopen3","Lok","Aug","pitfall","open",3,"open3",NA,NA,NA,50,0,0,1,49,100,27,"grass",TRUE,"","LokAugopen3",4,0,0,1,NA
"LokAugopen5","LokAugopen5","Lok","Aug","pitfall","open",5,"open5",NA,NA,NA,30,0,0,0,70,100,22,"herb",TRUE,"","LokAugopen5",5,0.500402423538188,0.32,2,0.721928094887362
"LokAugopen6","LokAugopen6","Lok","Aug","pitfall","open",6,"open6",NA,NA,NA,6,2,0,1,91,100,7,"grass",TRUE,"","LokAugopen6",1,0,0,1,NA
"LokAugopen8","LokAugopen8","Lok","Aug","pitfall","open",8,"open8",NA,NA,NA,87,0,0,0,13,100,25,"herb",TRUE,"","LokAugopen8",76,0,0,1,NA
"LokAugshrub1","LokAugshrub1","Lok","Aug","pitfall","shrub",1,"shrub1",390,250,140,100,0,0,0,0,100,30,"grass",TRUE,"","LokAugshrub1",3,0.636514168294813,0.444444444444444,2,0.918295834054489
"LokAugshrub10","LokAugshrub10","Lok","Aug","pitfall","shrub",10,"shrub10",180,155,120,98,0,0,0,2,100,16,"grass",TRUE,"","LokAugshrub10",1,0,0,1,NA
"LokAugshrub12","LokAugshrub12","Lok","Aug","pitfall","shrub",12,"shrub12",190,150,130,45,0,0,0,55,100,19,"grass",TRUE,"","LokAugshrub12",4,0,0,1,NA
"LokAugshrub5","LokAugshrub5","Lok","Aug","pitfall","shrub",5,"shrub5",390,310,155,96,0,1,0,3,100,29,"grass",TRUE,"","LokAugshrub5",273,0,0,1,NA
