,S_ID,sample?,site,month,day,microsite,rep,method,location,quantity,order,family,subfamily,,genus,species,highest.rtu,Size (mm),sex,
,,,CaS,Aug ,5,shrub,1,PT,ET,96,Hymenoptera,Formicidae,,,Solenoposis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,37,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Solfugidae,,,,,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Hymenoptera,Pompilidae,,,,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Coleoptera,Anobiidae,,,Niptus,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Aranae,Pholcidae,,,Psilochorus,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Diptera,Bombyliidae,,,,,,,,
,,,CaS,Aug ,5,open,2,PT,ET,1,Acari,,,,,,,,,
,,,CaS,Aug ,5,open,2,PT,ET,1,Aranae,Gnaphosidae,,adult,,,,,M,
,,,CaS,Aug ,5,open,2,PT,ET,1,Aranae,Lioncranidae,,immature,Neoanagraphis,chamberlini,Neoanagraphis chamberlini,,,
,,,CaS,Aug ,5,open,2,PT,ET,2,Aranae,Pholcidae,,,Psilochorus,,,,,
1052,,,CaS,Aug ,5,open,2,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,Aug ,5,open,2,PT,ET,12,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,2,PT,ET,1,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,open,2,PT,ET,3,Hymenoptera,Formicidae,,,Forelius,pruinosus,,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,2,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,1,Aranae,Pholcidae,,,,,,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,1,Blattodea,,,,,,,,,
1073,,,CaS,Aug ,5,shrub,2,PT,ET,2,Coleoptera,Carabidae,,,,,,,,
,,,CaS,Aug ,5,shrub,2,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,CaS,Aug ,5,shrub,2,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,76,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,2,PT,ET,3,Hymenoptera,Formicidae,,,Forelius,,Forelius,,,
,,,CaS,Aug ,5,open,3,PT,ET,1,Acari,,,,,,,,,
,,,CaS,Aug ,5,open,3,PT,ET,1,Aranae,Lycosidae,,,,,,,,
,,,CaS,Aug ,5,open,3,PT,ET,1,Diptera,Mythicomyiidae,,,Mythicomyia,,,,,
,,,CaS,Aug ,5,open,3,PT,ET,1,Hemiptera,,,,,,nymph,,,
,,,CaS,Aug ,5,open,3,PT,ET,1,Hymenoptera,Bethylidae,,,,,,,,
,,,CaS,Aug ,5,open,3,PT,ET,2,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,3,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,,Forelius,,,
1070,,,CaS,Aug ,5,open,3,PT,ET,1,Orthoptera,Rhaphidophoridae ,,,young,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,2,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Aranae,Lycosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Aranae,Pholcidae,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Coleoptera,,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Hemiptera,,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Hemiptera,,,,,,,,,
1072,,CaS-A-1,CaS,Aug ,5,shrub,3,PT,ET,81,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Hymenoptera,Formicidae,,,Pheidole,yellow,Pheidole,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,2,Hymenoptera,Formicidae,,,Forelius,,Forelius,,,
,CaS-A-S3-PT-1,,CaS,Aug ,5,shrub,3,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
,,,CaS,Aug ,5,shrub,3,PT,ET,1,Hymenoptera,Playgastridae,,,,,,,,
,,,CaS,Aug ,5,open,4,PT,ET,1,Aranae,Gnaphosidae,,,Trachyzelotes??,can't see comb but eyes match,,,,
,,,CaS,Aug ,5,open,4,PT,ET,1,Aranae,Gnaphosidae,,,Drassyllus,,,,F,
,,,CaS,Aug ,5,open,4,PT,ET,2,Hemiptera,Cicadellidae,,,short-winged,,,,,
,,,CaS,Aug ,5,open,4,PT,ET,1,Hemiptera,Cicadellidae,,immature,,,,,,
,,,CaS,Aug ,5,open,4,PT,ET,1,Hymenoptera,Crabronidae,,,,,,,,
1065,,,CaS,Aug ,5,open,4,PT,ET,29,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
1053,CaS-A-S4-PT-1,,CaS,Aug ,5,shrub,4,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,1,Hymenoptera,Formicidae,,,Myrmecocystus,,Myrmecocystus,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,15,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,pruinous,Forelius pruinosus,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,18,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,1,Aranae,"6 eyed, haploygyne, small",,,,,,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,1,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,2,Aranae,Pholcidae,,"very frail, not dark Y",,,,,,
,,,CaS,Aug ,5,shrub,4,PT,ET,1,Aranae,Lycosidae,,,Alopecosa,likely kochi,Aloepecosa kochi,,,
,,,CaS,Aug ,5,shrub,4,PT,pinned,1,Hemiptera,,,,,,,,,
,CaS-A-S4-PT-2,,CaS,Aug ,5,shrub,4,PT,ET,1,Hemiptera,Cicadellidae,,,,,,,,
1071,,,CaS,Aug ,5,open,5,PT,ET,17,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,open,5,PT,ET,4,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,5,PT,ET,5,Hymenoptera,Formicidae,,,Dorymyrmex,,Dorymyrmex,,,
,,,CaS,Aug ,5,open,5,PT,ET,1,Aranae,Gnaphosidae,,,Callilepis,,,,,
,,,CaS,Aug ,5,open,5,PT,ET,2,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,open,5,PT,ET,1,Solfugidae,,,,,,,,,
,CaS-A-O5-PT-1,Y,CaS,Aug ,5,open,5,PT,pinned,1,Blattodea,Corydiidae,,,Arenivaga,,,,,
,CaS-A-O5-PT-2,,CaS,Aug ,5,open,5,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
,CaS-A-O5-PT-3,,CaS,Aug ,5,open,5,PT,pinned,1,Hymenoptera,Formicidae,,,Messor?,,Messor,,,
,,,CaS,Aug ,5,shrub,5,PT,ET,1,Aranae,Gnaphosidae,,,,,,,,
,,CaS-A-2,CaS,Aug ,5,shrub,5,PT,ET,4,Aranae,Lycosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,5,PT,ET,1,Aranae,Salticidae,,,spots,,,,,
,,,CaS,Aug ,5,shrub,5,PT,ET,2,Aranae,,,,,,tiny but appear to be adult?,,,
,CaS-A-S5-PT-1,CaS-A-3,CaS,Aug ,5,shrub,5,PT,pinned,1,Coleoptera,Curculionoidea,,,,,,,,
,CaS-A-S5-PT-2,,CaS,Aug ,5,shrub,5,PT,pinned,2,Coleoptera,Tenebrionidae,,,Eleodes,armata,,,,
,,,CaS,Aug ,5,shrub,5,PT,ET,1,Hymenoptera,Formicidae,,,Myrmecocystus,,Myrmecocystus,,,
,,,CaS,Aug ,5,shrub,5,PT,ET,33,Hymenoptera,Formicidae,,,Pheidole,yellow/brown,Pheidole,,,
,,,CaS,Aug ,5,shrub,5,PT,ET,136,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
1068,,,CaS,Aug ,5,open,6,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
1060,,,CaS,Aug ,5,shrub,6,PT,ET,26,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,6,PT,ET,93,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,6,PT,ET,2,Hymenoptera,Formicidae,,,Dorymyrmex,,Dorymyrmex,,,
,,,CaS,Aug ,5,shrub,6,PT,ET,1,Solfugidae,,,,,,,,,
,CaS-A-S6-PT-1,,CaS,Aug ,5,shrub,6,PT,pinned,1,Hemiptera,Alydidae,,,Tollius,,,,,
,,,CaS,Aug ,5,shrub,6,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,CaS,Aug ,5,shrub,6,PT,ET,1,Hemiptera,Cicadellidae,,,,,,,,
,,,CaS,Aug ,5,shrub,6,PT,ET,4,Aranae,"6-eyed, tiny",,,,,,,,
1059,,,CaS,Aug ,5,open,7,PT,ET,23,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,open,7,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,pruin?,Forelius pruinosus,,,
,,,CaS,Aug ,5,open,7,PT,ET,19,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,7,PT,ET,1,Blattodea,Corydiidae,,,Arenviga,tiny numph,,,,
,,,CaS,Aug ,5,open,7,PT,ET,1,Diptera,Bombyliidae,,,,,,,,
,,,CaS,Aug ,5,open,7,PT,ET,2,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,open,7,PT,ET,2,Aranae,Gnaphosidae,,,,,,,,
,CaS-A-O7-PT-1,Y,CaS,Aug ,5,open,7,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
,CaS-A-O7-PT-2,,CaS,Aug ,5,open,7,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,2,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,1,Aranae,Lycosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,1,Aranae,,,,,,tiny,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,1,Hemiptera,,,,,,,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,1,Hemiptera,,,,,,nymph,,,
1063,,,CaS,Aug ,5,shrub,7,PT,ET,369,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,16,Hymenoptera,Formicidae,,,Pheidole,yellow,Pheidole,,,
,,,CaS,Aug ,5,shrub,7,PT,ET,1,Hymenoptera,Formicidae,,,Forelius?,dark band on gaster,,,,
1054,,,CaS,Aug ,5,open,8,PT,ET,1,Orthoptera,Acrididae,Melanopinae,,,,,,,
,,,CaS,Aug ,5,open,8,PT,ET,1,Hemiptera,Rhopalidae,,,,,,,,
,,,CaS,Aug ,5,open,8,PT,ET,2,Hymenoptera,Formicidae,,,Dorymyrmex,insanus?,Dorymyrmex insanus,,,
,,,CaS,Aug ,5,open,8,PT,ET,22,Hymenoptera,Formicidae,,,Pheidole,yellow,Pheidole,,,
,,,CaS,Aug ,5,open,8,PT,ET,30,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,8,PT,ET,1,Hymenoptera,Bethylidae,,,,,,,,
,,,CaS,Aug ,5,open,8,PT,ET,1,Hymenoptera,Platygrastridae,Scelioninae,,,,,,,
,,,CaS,Aug ,5,open,8,PT,ET,1,Aranae,Gnaphosidae,,,Callilepis,,,,M,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1056,,,CaS,Aug ,5,shrub,8,PT,ET,20,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,8,PT,ET,66,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,8,PT,ET,5,Acari,,,,,,,,,
,,,CaS,Aug ,5,shrub,8,PT,ET,2,Aranae,"entelgyne, 6 eyes, small",,,,,,,,
,,,CaS,Aug ,5,shrub,8,PT,ET,1,Aranae,Salticidae,,,,,,,,
,CaS-A-S8-PT-1,CaS-A-4,CaS,Aug ,5,shrub,8,PT,ET,1,Aranae,Gnaphosidae,,,,,,,,
,CaS-A-S8-PT-2,CaS-A-5,CaS,Aug ,5,shrub,8,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
,CaS-A-S8-PT-3,CaS-A-6,CaS,Aug ,5,shrub,8,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
1067,,,CaS,Aug ,5,shrub,9,PT,ET,8,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,9,PT,ET,19,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,9,PT,ET,1,Hemiptera,Rhopalidae,,,,,,,,
,,,CaS,Aug ,5,shrub,9,PT,ET,1,Coleoptera,Mycetophagidae,,,Typhaea,stercorea,,,,
,,,CaS,Aug ,5,shrub,9,PT,ET,1,Coleoptera,Tenebrionidae?,,,,,,,,
,,,CaS,Aug ,5,shrub,9,PT,ET,5,Acari,,,,,,,,,
,,,CaS,Aug ,5,shrub,9,PT,ET,1,Aranae,"6 eyes, small",,,,,,,,
,,,CaS,Aug ,5,open,9,PT,ET,6,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,open,9,PT,ET,11,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,9,PT,ET,1,Hymenoptera,Formicidae,,,Myrmecocystus,,Myrmecocystus,,,
,,,CaS,Aug ,5,open,9,PT,ET,2,Hymenoptera,Formicidae,,,Dorymyrmex,insanus?,Dorymyrmex insanus,,,
,,,CaS,Aug ,5,open,9,PT,ET,1,Hemiptera,Rhopalidae,,,,,,,,
,,,CaS,Aug ,5,open,9,PT,ET,1,Aranae,Gnaphosidae,,,Calilepus,,,,,
,,,CaS,Aug ,5,open,9,PT,ET,1,Diptera,Bombyliidae,,,Apolysis,,,,,
,,,CaS,Aug ,5,open,9,PT,ET,2,Hemiptera,Cicadellidae,"short wing, 2 face spots",,,,,,,
1055,,,CaS,Aug ,5,open,10,PT,ET,6,Hymenoptera,Formicidae,,,Solenopsis,xyloni,,,,
,,,CaS,Aug ,5,open,10,PT,ET,2,Hemiptera,Cicadellidae,"short wing, 2 face spots",,,,,,,
,,,CaS,Aug ,5,open,10,PT,ET,1,Coleoptera,tiny,,,,,,,,
,,,CaS,Aug ,5,open,10,PT,ET,1,Coleoptera,also tiny,,,,,,,,
1057,,,CaS,Aug ,5,shrub,10,PT,ET,4,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,10,PT,ET,2,Diptera,Phoridae,,,,,,,,
,,,CaS,Aug ,5,shrub,10,PT,ET,36,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,10,PT,ET,1,Hemiptera,,,immature,,,,,,
,CaS-A-S10-PT-7,,CaS,Aug ,5,shrub,10,PT,1 pinned,2,Hemiptera,Rhyparochromidae,,,Emblethis ,vicarius,Emblethis vicarius,,,
,Cas-A-S10-PT-1,,CaS,Aug ,5,shrub,10,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,Cas-A-S10-PT-2,,CaS,Aug ,5,shrub,10,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,Cas-A-S10-PT-3,,CaS,Aug ,5,shrub,10,PT,pinned,1,Hemiptera,,,,,,,,,
,Cas-A-S10-PT-4,,CaS,Aug ,5,shrub,10,PT,pinned,1,Hemiptera,,,,,,,,,
,Cas-A-S10-PT-5,,CaS,Aug ,5,shrub,10,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
,Cas-A-S10-PT-6,,CaS,Aug ,5,shrub,10,PT,pinned,1,Coleoptera,Tenebrionidae,,,,,,,,
1069,,,CaS,Aug ,5,open,11,PT,ET,22,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,open,11,PT,ET,14,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,CaS-A-O11-PT-1,Y,CaS,Aug ,5,open,11,PT,ET,1,Hymenoptera,Crabronidae,,,,,,,,
,,,CaS,Aug ,5,open,11,PT,ET,2,Hymenoptera,Formicidae,,,Myrmecocystus,,Myrmecocystus,,,
,,,CaS,Aug ,5,open,11,PT,ET,2,Hymenoptera,Formicidae,,,Forelius,,Forelius,,,
,,,CaS,Aug ,5,open,11,PT,ET,1,Hymenoptera,Formicidae,,,Dorymyrmex,insanus?,Dorymyrmex insanus,,,
,,,CaS,Aug ,5,open,11,PT,ET,1,Aranae,Lycosidae,,,Alopecosa,,Alopecosa kochi,,,
,,,CaS,Aug ,5,open,11,PT,ET,3,Hemiptera,Cicadellidae,,short-wings,,,,,,
,,,CaS,Aug ,5,open,11,PT,ET,1,Blattodea,Corydiidae,,,Areniviga,,,,,
,,,CaS,Aug ,5,open,11,PT,ET,1,Aranae,,,,immature,,,,,
1064,,,CaS,Aug ,5,shrub,11,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,3,Aranae,Lycosidae,,"two much smaller, neither adult",Alecoposa,kochi?,Alopecosa kochi,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,3,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,204,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,74,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,1,Aranae,Gnaphosidae,,,,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,1,Hemiptera,,,,immature,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,4,Aranae,"6-eyeds, tiny",,,,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,1,Pseudoscorpione,,,,,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,CaS,Aug ,5,shrub,11,PT,ET,1,Aranae,Pholcidae,,,,,,,,
,CaS-A-S11-PT-2,Y,CaS,Aug ,5,shrub,11,PT,pinned,1,Coleoptera,Carabidae,,,,,,,,
,CaS-A-S11-PT-3,CaS-A-10,CaS,Aug ,5,shrub,11,PT,pinned,1,Hymenoptera,Pompilidae,,,,,,,,
,CaS-A-S11-PT-4,CaS-A-11,CaS,Aug ,5,shrub,11,PT,pinned,1,Diptera,Laux/Heliomyzid etc,,,,,,,,
1062,,,CaS,Aug ,5,shrub,12,PT,ET,1,Aranae,Lycosidae,,,Alecoposa,kochi?,Alopecosa kochi,,,
,CaS-A-S12-PT-1,,CaS,Aug ,5,shrub,12,PT,pinned,2,Hemiptera,Alydidae,,,Tollius,,,,,
,,,CaS,Aug ,5,shrub,12,PT,ET,1,Coleoptera,Mycetophagidae,,,Typhaea,stercorea,,,,
,,,CaS,Aug ,5,shrub,12,PT,ET,13,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,shrub,12,PT,ET,6,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,shrub,12,PT,ET,1,Aranae,Salticidae,,,,,,,,
,CaS-A-S12-PT-2,,CaS,Aug ,5,shrub,12,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
,CaS-A-S12-PT-3,,CaS,Aug ,5,shrub,12,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
,,,CaS,Aug ,5,open,12,PT,ET,1,Blattodea,Corydiidae,,,Arenivega,,,,,
,,,CaS,Aug ,5,open,12,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,CaS,Aug ,5,open,12,PT,ET,115,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,12,PT,ET,2,Hemiptera,Cicadellidae,"short wing, 2 face spots",,,,,,,
,,,CaS,Aug ,5,open,12,PT,ET,2,Hymenoptera,Platygastridae,Scelioninae,,,,,,,
,,,CaS,Aug ,5,open,12,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,pruinious,Forelius pruinosus,,,
,,,CaS,Aug ,5,open,,MAL,ET -sep,31,Lepidoptera,Yponomeutoidea,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,pinned,1,Lepidoptera,Yponomeutoidea,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET - cic,1,Hemiptera,Cicadellidae,,,green and pink,,,,,
,,,CaS,Aug ,5,open,,MAL,ET - cic,4,Hemiptera,Cicadellidae,,,looks like tiny pink cicadas,,,,,
,,,CaS,Aug ,5,open,,MAL,ET - cic,3,Hemiptera,Cicadellidae,,,brown spots,,,,,
,,,CaS,Aug ,5,open,,MAL,ET - col,18,Coleoptera,,,,"tiny, hindwing comes out",,,,,
,,,CaS,Aug ,5,open,,MAL,ET,6,Hymenoptera,Bethylidae,,,looks like 3 species,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Aranae,Thomisidae,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,2,Aranae,"6 eyes, small",,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,3,Hymenoptera,Platygastridae,,,2 different,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,2,Hymenoptera,,,,2 dif parasitoids,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,4,Hemiptera,Aphididae,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Hymenoptera,Myrmaridae,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Hemiptera,,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,9,Diptera,Chironomidae,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Diptera,Tachinidae,,,,,,,,
,,,CaS,Aug ,5,open,,MAL,ET,1,Diptera,Tachinidae,,,,,,,,
,CaS-A-MAL-4,,CaS,Aug ,5,open,,MAL,1 pinned,2,Hymenoptera,Pompilidae,,,,,,,,
,CaS-A-MAL-1,Y,CaS,Aug ,5,open,,MAL,pinned,1,Hymenoptera,Megachilidae,,,Ashmeadiella,,,,,
,CaS-A-MAL-3,Y,CaS,Aug ,5,open,,MAL,pinned,1,Orthoptera,Acrididae,Oedipodinae,,,,,,,
,CaS-A-MAL-5,Y,CaS,Aug ,5,open,,MAL,pinned,1,Mantodea,,,,,,,,,
537,CaS-J13-O1-PT-1,,CaS,July,13,open,1,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,July,13,open,1,PT,ET,1,Aranae,Pholcidae,,,Psilochorus,,,,,
,,,CaS,July,13,open,1,PT,ET,1,Hymenoptera,Formicidae,,,Dorymyrmex ,insanus,Dorymyrmex insanus,,,
,,,CaS,July,13,open,1,PT,ET,1,Hemiptera,Geocoridae,,,Geocoris,punctipes,Geocoris punctipes,,,
,,,CaS,July,13,open,1,PT,ET,1,Aranae,Gnaphosidae,,,Drassylus,insularis,Drassylus insularis,,,
540,CaS-J13-S1-PT-1,,CaS,July,13,shrub,1,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,July,13,shrub,1,PT,ET,2,Aranae,Lycosidae,,,Alopecosa,kochi,Alopecosa kochi,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Hymenoptera,Crabronidae,,,,,,,,
,,,CaS,July,13,shrub,1,PT,ET,2,Coleoptera,Tenebrionidae,,,Metaponian/auchmobius,,,,,
,CaS-J13-S1-PT-2,,CaS,July,13,shrub,1,PT,one pinned,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Coleoptera,Tenebrionidae,,,reddish,,,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Hemiptera,Rhyparochromidae,,,Emblethis,vicarius,Emblethis vicarius,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Microcoryphia,Meintertellidae,,,Machilinus,aurantiacus,Machilinus aurantiacus,,,
,,,CaS,July,13,shrub,1,PT,ET,17,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,CaS,July,13,shrub,1,PT,ET,37,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Hymenoptera,Mutillidae,small,,,,,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Hymenoptera,Pompilidae,,,,,,,,
,,,CaS,July,13,shrub,1,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,,,,,
533,,,CaS,July,13,open,2,PT,ET,1,Blattodea,,,,Arenivega,,,,,
,,,CaS,July,13,open,2,PT,ET,1,Hymenoptera,Pompilidae,,,,,,,,
,,,CaS,July,13,open,2,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
